id,header,years_from,years_to,release_year,aggregate_rating,num_figures,manufacturer,period_duration,mid_year,era,decade,years_since_release,nationality
752,Orion Medieval Siege Engines Part 2 (72016),1000,1450,2004.0,,,Orion,450,1225,Средневековье,2000.0,22.0,Не указано
753,Evolution Roman Legionary Artillery (EVF032),0,0,2004.0,,7.0,Evolution,0,0,Древний мир,2000.0,22.0,Не указано
754,Esci 'Red Devils' British Paratroopers (8034),1940,1945,,37.0,13.0,Esci,5,1942,Новейшее время,,,British
756,Hasegawa German Infantry Attack Group (31130),1939,1945,1991.0,35.0,24.0,Hasegawa,6,1942,Новейшее время,1990.0,35.0,German
757,Preiser German Tank Crew 1939-45 (72515),1939,1945,1998.0,50.0,20.0,Preiser,6,1942,Новейшее время,1990.0,28.0,Не указано
758,Revell French Horse Guard Artillery (02588),1807,1813,2000.0,,11.0,Revell,6,1810,Новое время,2000.0,26.0,French
759,Revell Prussian Cuirassiers (02589),1800,1807,1996.0,,17.0,Revell,7,1803,Новое время,1990.0,30.0,Не указано
760,Hasegawa US Pilot/Ground Crew Set (35007),1980,1988,1985.0,46.0,16.0,Hasegawa,8,1984,Современность,1980.0,41.0,USA
761,Hasegawa Check Point (31131),1939,1945,,,,Hasegawa,6,1942,Новейшее время,,,Не указано
763,Esci Red Guards (8017),1936,1945,,38.0,26.0,Esci,9,1940,Новейшее время,,,Russian
764,Strelets Crimean Russian Hussars (034),1850,1855,2005.0,44.0,12.0,Strelets,5,1852,Новое время,2000.0,21.0,Russian
765,Strelets Napoleon's General Staff (013),1804,1815,2005.0,42.0,36.0,Strelets,11,1809,Новое время,2000.0,21.0,French
766,Strelets Scots Greys (030),1842,1874,2005.0,45.0,12.0,Strelets,32,1858,Новое время,2000.0,21.0,British
767,HaT 1808-1812 French Line Infantry (8095),1808,1813,2005.0,46.0,100.0,HaT,5,1810,Новое время,2000.0,21.0,French
768,Armourfast WWII German BMW with Sidecar (99010),1940,1945,2005.0,44.0,15.0,Armourfast,5,1942,Новейшее время,2000.0,21.0,German
769,HaT Russian Militia (8099),1812,1814,2005.0,37.0,100.0,HaT,2,1813,Новое время,2000.0,21.0,Russian
771,Strelets Russian Naval Artillery (032),1840,1870,2005.0,45.0,25.0,Strelets,30,1855,Новое время,2000.0,21.0,Russian
773,Linear-B Roman Port - 2 (075),-100,400,2014.0,45.0,60.0,Linear-B,500,150,Древний мир,2010.0,12.0,Italian
776,Armourfast WWII German Zundapp Motorcycle (99011),1938,1945,2005.0,45.0,21.0,Armourfast,7,1941,Новейшее время,2000.0,21.0,German
777,Preiser Horse Drawn Light Field Howitzer (16513),1936,1945,,50.0,8.0,Preiser,9,1940,Новейшее время,,,German
778,A Call To Arms British Infantry 1775 (65),1768,1796,2005.0,38.0,32.0,A Call To Arms,28,1782,Новое время,2000.0,21.0,British
780,Preiser Modern US Infantry (16529),1983,1988,,,16.0,Preiser,5,1985,Современность,,,USA
781,Strelets Zouaves (033),1830,1914,2005.0,37.0,44.0,Strelets,84,1872,Новое время,2000.0,21.0,French
782,Preiser Soviet Infantry and Partisans 1942/43 (72522),1941,1945,2003.0,42.0,12.0,Preiser,4,1943,Новейшее время,2000.0,23.0,Не указано
783,Preiser Soviet Infantry and Partisans 1942/43 (16530),1941,1945,2003.0,,12.0,Preiser,4,1943,Новейшее время,2000.0,23.0,Russian
784,BUM Republican Army (5001),1935,1939,2005.0,43.0,36.0,BUM,4,1937,Новейшее время,2000.0,21.0,Spanish
785,Esci US Soldiers (8016),1942,1946,,39.0,22.0,Esci,4,1944,Новейшее время,,,USA
786,"Preiser German Paratroopers, Pilots and Ground Crew (16503)",1939,1945,,,40.0,Preiser,6,1942,Новейшее время,,,German
787,"Preiser German Paratroopers, Pilots and Ground Crew (72516)",1939,1945,,39.0,40.0,Preiser,6,1942,Новейшее время,,,German
788,Preiser Home Leave (16542),1936,1945,2002.0,,6.0,Preiser,9,1940,Новейшее время,2000.0,24.0,German
789,Preiser Home Leave (72521),1936,1945,2002.0,42.0,6.0,Preiser,9,1940,Новейшее время,2000.0,24.0,German
791,Esci Iwo-Jima Marines Landing (8062),1945,1945,1977.0,39.0,6.0,Esci,0,1945,Новейшее время,1970.0,49.0,USA
792,Revell WWII German Navy (02525),1939,1945,2005.0,46.0,51.0,Revell,6,1942,Новейшее время,2000.0,21.0,German
793,"Preiser Pilots, Ground Crew and Passengers 1925 (72510)",1920,1930,,42.0,36.0,Preiser,10,1925,Новейшее время,,,Не указано
794,Waterloo 1815 Anglo-Egyptian Army (013),1880,1886,2005.0,41.0,48.0,Waterloo 1815,6,1883,Новое время,2000.0,21.0,British
794,Waterloo 1815 Anglo-Egyptian Army (013),1880,1886,2005.0,41.0,48.0,Waterloo 1815,6,1883,Новое время,2000.0,21.0,Egyptian
794,Waterloo 1815 Anglo-Egyptian Army (013),1880,1886,2005.0,41.0,48.0,Waterloo 1815,6,1883,Новое время,2000.0,21.0,Sudanese
795,Zvezda French Knights (8036),1401,1499,2005.0,40.0,19.0,Zvezda,98,1450,Средневековье,2000.0,21.0,French
796,Caesar Ch'in Dynasty Army (H004),-225,-200,2005.0,44.0,42.0,Caesar,25,-213,Древний мир,2000.0,21.0,Chinese
797,Caesar German Infantry with Winter Gear (H005),1941,1945,2005.0,45.0,42.0,Caesar,4,1943,Новейшее время,2000.0,21.0,German
798,Caesar WWII Underground Resisters (Partisans) (H006),1939,1945,2005.0,44.0,42.0,Caesar,6,1942,Новейшее время,2000.0,21.0,Belgian
798,Caesar WWII Underground Resisters (Partisans) (H006),1939,1945,2005.0,44.0,42.0,Caesar,6,1942,Новейшее время,2000.0,21.0,Czech
798,Caesar WWII Underground Resisters (Partisans) (H006),1939,1945,2005.0,44.0,42.0,Caesar,6,1942,Новейшее время,2000.0,21.0,Dutch
798,Caesar WWII Underground Resisters (Partisans) (H006),1939,1945,2005.0,44.0,42.0,Caesar,6,1942,Новейшее время,2000.0,21.0,French
798,Caesar WWII Underground Resisters (Partisans) (H006),1939,1945,2005.0,44.0,42.0,Caesar,6,1942,Новейшее время,2000.0,21.0,Italian
798,Caesar WWII Underground Resisters (Partisans) (H006),1939,1945,2005.0,44.0,42.0,Caesar,6,1942,Новейшее время,2000.0,21.0,Polish
798,Caesar WWII Underground Resisters (Partisans) (H006),1939,1945,2005.0,44.0,42.0,Caesar,6,1942,Новейшее время,2000.0,21.0,Yugoslavian
801,Preiser WWII German Infantry Advancing (72504),1939,1945,1998.0,44.0,12.0,Preiser,6,1942,Новейшее время,1990.0,28.0,Не указано
802,Preiser WWII German Infantry Advancing (16519),1936,1945,,,,Preiser,9,1940,Новейшее время,,,German
803,Odemars Wellington's Staff (PF14),1808,1815,2005.0,29.0,42.0,Odemars,7,1811,Новое время,2000.0,21.0,British
804,Odemars Portuguese Infantry (CF02),1810,1813,2005.0,26.0,42.0,Odemars,3,1811,Новое время,2000.0,21.0,Portuguese
805,IMEX Pilgrims (521),1607,1680,2005.0,49.0,43.0,IMEX,73,1643,Новое время,2000.0,21.0,USA
806,IMEX Korean War US Army (529),1950,1955,2005.0,43.0,51.0,IMEX,5,1952,Современность,2000.0,21.0,USA
807,IMEX Chinese People's Liberation Army (531),1949,1952,2005.0,47.0,50.0,IMEX,3,1950,Современность,2000.0,21.0,Chinese
808,IMEX Republic of Korea Troops (530),1946,1955,2005.0,46.0,50.0,IMEX,9,1950,Современность,2000.0,21.0,South Korean
809,Dark Dream Studio Landsknechts (Pikemen) (72004),1501,1525,2005.0,35.0,24.0,Dark Dream Studio,24,1513,Средневековье,2000.0,21.0,German
810,IMEX North Korean KPA (532),1947,1955,2005.0,45.0,53.0,IMEX,8,1951,Современность,2000.0,21.0,North Korean
811,Italeri Russian Infantry (6073),1812,1815,,,,Italeri,3,1813,Новое время,,,Russian
813,Strelets British Lancers (036),1817,1870,2005.0,45.0,12.0,Strelets,53,1843,Новое время,2000.0,21.0,British
814,Strelets British Light Dragoons (040),1840,1870,2005.0,47.0,12.0,Strelets,30,1855,Новое время,2000.0,21.0,British
815,Pegasus California Mission Indians (7051),1769,1833,2005.0,50.0,28.0,Pegasus,64,1801,Новое время,2000.0,21.0,Mexican
815,Pegasus California Mission Indians (7051),1769,1833,2005.0,50.0,28.0,Pegasus,64,1801,Новое время,2000.0,21.0,USA
816,Strelets Guard of Peter I (031),1695,1720,2005.0,42.0,36.0,Strelets,25,1707,Новое время,2000.0,21.0,Russian
817,HaT WWI German Artillery (8109),1916,1918,2005.0,44.0,48.0,HaT,2,1917,Новейшее время,2000.0,21.0,German
818,Italeri French Grenadiers (6072),1804,1815,1984.0,,50.0,Italeri,11,1809,Новое время,1980.0,42.0,French
819,Pegasus Waffen SS - Set 2 (7202),1942,1945,2005.0,47.0,43.0,Pegasus,3,1943,Новейшее время,2000.0,21.0,German
820,A Call To Arms Netherlands Infantry 1815 (66),1815,1815,2005.0,32.0,32.0,A Call To Arms,0,1815,Новое время,2000.0,21.0,Belgian
820,A Call To Arms Netherlands Infantry 1815 (66),1815,1815,2005.0,32.0,32.0,A Call To Arms,0,1815,Новое время,2000.0,21.0,Dutch
821,HaT Late Roman Heavy Infantry (8087),350,490,2005.0,40.0,40.0,HaT,140,420,Древний мир,2000.0,21.0,Italian
822,Pegasus Germans in Berlin 1945 (7228),1944,1945,2005.0,47.0,39.0,Pegasus,1,1944,Новейшее время,2000.0,21.0,German
823,HaT Renault FT-17 with 37mm Cannon (8113),1917,1949,2005.0,,,HaT,32,1933,Новейшее время,2000.0,21.0,French
824,HaT Renault FT-17 with Hotchkiss Machine Gun (8114),1917,1949,2005.0,,,HaT,32,1933,Новейшее время,2000.0,21.0,French
825,Strelets Reitars of Charles XII (035),1690,1702,2005.0,35.0,12.0,Strelets,12,1696,Новое время,2000.0,21.0,Swedish
826,Strelets Russian Grenadiers (039),1846,1862,2005.0,37.0,42.0,Strelets,16,1854,Новое время,2000.0,21.0,Russian
827,HaT WWII Polish Infantry (8115),1935,1939,2005.0,40.0,96.0,HaT,4,1937,Новейшее время,2000.0,21.0,Polish
828,Odemars Spanish Infantry (CF01),1812,1813,2005.0,39.0,42.0,Odemars,1,1812,Новое время,2000.0,21.0,Spanish
829,HaT WWI Ottoman Artillery and Machine Guns (8094),1914,1918,2005.0,44.0,56.0,HaT,4,1916,Новейшее время,2000.0,21.0,Turkish
830,Pegasus German Mortar Teams (7204),1936,1943,2005.0,49.0,23.0,Pegasus,7,1939,Новейшее время,2000.0,21.0,German
831,HaT WWI German Heavy Weapons Set (8110),1916,1918,2005.0,44.0,72.0,HaT,2,1917,Новейшее время,2000.0,21.0,German
832,HaT Imperial Roman Extra Heavy Legionaries (8064),80,180,2005.0,40.0,48.0,HaT,100,130,Древний мир,2000.0,21.0,Italian
833,Preiser Resting Infantry and Provost Corps Officers (16501),1936,1945,1997.0,,12.0,Preiser,9,1940,Новейшее время,1990.0,29.0,German
834,Preiser Resting Infantry (72505),1936,1945,1997.0,44.0,12.0,Preiser,9,1940,Новейшее время,1990.0,29.0,German
835,Zvezda French Imperial Old Guard (8030),1804,1815,2005.0,48.0,41.0,Zvezda,11,1809,Новое время,2000.0,21.0,French
836,Italeri Indian Warriors (6061),1700,1800,2005.0,44.0,48.0,Italeri,100,1750,Новое время,2000.0,21.0,USA
837,Italeri American Infantry (6060),1775,1783,2005.0,33.0,48.0,Italeri,8,1779,Новое время,2000.0,21.0,USA
839,Esci Afrika Korps (8018),1941,1943,,36.0,21.0,Esci,2,1942,Новейшее время,,,German
840,Odemars Carpentum (PF08),0,0,2005.0,,1.0,Odemars,0,0,Древний мир,2000.0,21.0,Italian
841,Fujimi British Infantry (76029),1939,1943,,26.0,10.0,Fujimi,4,1941,Новейшее время,,,British
842,Caesar Assyrian Army (H007),-710,-612,2005.0,46.0,42.0,Caesar,98,-661,Древний мир,2000.0,21.0,Syrian
843,Caesar Egyptian Army (H009),-1550,-1000,2005.0,48.0,42.0,Caesar,550,-1275,Древний мир,2000.0,21.0,Egyptian
845,Emhar Saxon Warriors (7206),801,999,2005.0,45.0,50.0,Emhar,198,900,Средневековье,2000.0,21.0,British
845,Emhar Saxon Warriors (7206),801,999,2005.0,45.0,50.0,Emhar,198,900,Средневековье,2000.0,21.0,Saxon
846,IMEX Saxons (7215),801,999,2005.0,,50.0,IMEX,198,900,Средневековье,2000.0,21.0,Anglo-Saxon
846,IMEX Saxons (7215),801,999,2005.0,,50.0,IMEX,198,900,Средневековье,2000.0,21.0,British
847,LW Portugal Artillery (2004),1810,1814,2005.0,37.0,32.0,LW,4,1812,Новое время,2000.0,21.0,Portuguese
849,Preiser German Soldiers Walking and Standing (16543),1980,2000,,48.0,39.0,Preiser,20,1990,Современность,,,German
850,Hasegawa Kubelwagen / BMW Side Car (31112),1939,1945,1991.0,,3.0,Hasegawa,6,1942,Новейшее время,1990.0,35.0,German
851,Preiser Rural Groups. Wagons (16327),1800,1960,,48.0,31.0,Preiser,160,1880,Новое время,,,Не указано
852,Fujimi German Infantry with Gasmasks (76028),1939,1945,,20.0,10.0,Fujimi,6,1942,Новейшее время,,,German
853,Esci Accessories (8060),1930,1980,,,,Esci,50,1955,Современность,,,Не указано
854,Esci Nebelwerfer 41 (8033),1941,1945,1983.0,41.0,12.0,Esci,4,1943,Новейшее время,1980.0,43.0,German
855,Orion Roman Siege Troops (72008),25,199,2005.0,39.0,42.0,Orion,174,112,Древний мир,2000.0,21.0,Italian
856,LW Swiss Mercenaries (8),1470,1490,2005.0,37.0,14.0,LW,20,1480,Средневековье,2000.0,21.0,Swiss
857,Preiser German Motorised Infantry (72503),1936,1945,1998.0,50.0,20.0,Preiser,9,1940,Новейшее время,1990.0,28.0,German
858,Preiser German Motorised Infantry (16520),1936,1945,1998.0,,20.0,Preiser,9,1940,Новейшее время,1990.0,28.0,German
859,Evolution Roman Artillery (EVF041),0,0,2004.0,,7.0,Evolution,0,0,Древний мир,2000.0,22.0,Не указано
860,Evolution Russian Medieval Knights (EVF055),1300,1500,2004.0,,8.0,Evolution,200,1400,Средневековье,2000.0,22.0,Russian
861,Caesar Saladin with Saracen Cavalry (H018),1050,1250,2005.0,45.0,12.0,Caesar,200,1150,Средневековье,2000.0,21.0,Egyptian
861,Caesar Saladin with Saracen Cavalry (H018),1050,1250,2005.0,45.0,12.0,Caesar,200,1150,Средневековье,2000.0,21.0,Iraqi
861,Caesar Saladin with Saracen Cavalry (H018),1050,1250,2005.0,45.0,12.0,Caesar,200,1150,Средневековье,2000.0,21.0,Syrian
862,Caesar Medieval Knights (Crusaders) (H017),1165,1230,2005.0,46.0,12.0,Caesar,65,1197,Средневековье,2000.0,21.0,Frankish
863,Fujimi Diorama Accessories (76073),1800,2000,,,,Fujimi,200,1900,Новое время,,,Не указано
864,Preiser German Infantry Dismounting (16528),1935,1945,1999.0,,12.0,Preiser,10,1940,Новейшее время,1990.0,27.0,German
865,Preiser German Infantry Dismounting (72501),1936,1945,1999.0,47.0,12.0,Preiser,9,1940,Новейшее время,1990.0,27.0,German
866,MiniArt Burgundian Mounted Knights (72006),1401,1499,2005.0,29.0,20.0,MiniArt,98,1450,Средневековье,2000.0,21.0,Burgundian
866,MiniArt Burgundian Mounted Knights (72006),1401,1499,2005.0,29.0,20.0,MiniArt,98,1450,Средневековье,2000.0,21.0,French
867,MiniArt French Mounted Knights (72007),1401,1499,2005.0,31.0,20.0,MiniArt,98,1450,Средневековье,2000.0,21.0,French
868,Strelets Allied Chiefs of Staff (2) (011),1790,1815,2005.0,46.0,35.0,Strelets,25,1802,Новое время,2000.0,21.0,Austrian
868,Strelets Allied Chiefs of Staff (2) (011),1790,1815,2005.0,46.0,35.0,Strelets,25,1802,Новое время,2000.0,21.0,British
869,Strelets US Cavalry (1) (041),1865,1890,2005.0,42.0,12.0,Strelets,25,1877,Новое время,2000.0,21.0,USA
870,Strelets Artillery of Peter I (042),1700,1725,2005.0,44.0,24.0,Strelets,25,1712,Новое время,2000.0,21.0,Russian
871,Strelets Artillery of Charles XII (043),1701,1714,2005.0,42.0,24.0,Strelets,13,1707,Новое время,2000.0,21.0,Swedish
872,Strelets Roman Auxiliaries Ranks (M124),50,150,2017.0,,40.0,Strelets,100,100,Древний мир,2010.0,9.0,Italian
873,Strelets French Foreign Legion Artillery (290),1925,1938,2020.0,38.0,18.0,Strelets,13,1931,Новейшее время,2020.0,6.0,French
874,Linear-A Imperial Guardsmen of Emperor Justinian I (040),527,565,2023.0,44.0,48.0,Linear-A,38,546,Средневековье,2020.0,3.0,Greek
874,Linear-A Imperial Guardsmen of Emperor Justinian I (040),527,565,2023.0,44.0,48.0,Linear-A,38,546,Средневековье,2020.0,3.0,Turkish
875,Linear-A The Nika Revolt (041),500,600,2025.0,41.0,52.0,Linear-A,100,550,Средневековье,2020.0,1.0,Greek
875,Linear-A The Nika Revolt (041),500,600,2025.0,41.0,52.0,Linear-A,100,550,Средневековье,2020.0,1.0,Turkish
876,Emhar Russian Artillery (7208),1854,1855,2005.0,50.0,27.0,Emhar,1,1854,Новое время,2000.0,21.0,Russian
877,Emhar American Infantry (7209),1917,1918,2005.0,44.0,50.0,Emhar,1,1917,Новейшее время,2000.0,21.0,USA
878,Emhar Charge of the Light Brigade (7207),1850,1857,2005.0,,18.0,Emhar,7,1853,Новое время,2000.0,21.0,British
879,Atlantic Seamen (108),1960,1975,1972.0,29.0,,Atlantic,15,1967,Современность,1970.0,54.0,Italian
880,Strelets Medieval Britain (071),1200,1450,2005.0,44.0,124.0,Strelets,250,1325,Средневековье,2000.0,21.0,British
881,Strelets Lieb-Drabants of Charles XII (044),1700,1720,2005.0,39.0,12.0,Strelets,20,1710,Новое время,2000.0,21.0,Swedish
882,Zvezda Saxon Cuirassiers (8035),1810,1814,2005.0,44.0,16.0,Zvezda,4,1812,Новое время,2000.0,21.0,German
882,Zvezda Saxon Cuirassiers (8035),1810,1814,2005.0,44.0,16.0,Zvezda,4,1812,Новое время,2000.0,21.0,Saxon
883,Waterloo 1815 Italian Carabiniers (005),1840,1849,2005.0,43.0,14.0,Waterloo 1815,9,1844,Новое время,2000.0,21.0,Italian
884,Waterloo 1815 Italian Bersaglieri (015),1850,1875,2005.0,39.0,48.0,Waterloo 1815,25,1862,Новое время,2000.0,21.0,Italian
885,Fujimi Japanese Infantry (76030),1935,1945,,21.0,15.0,Fujimi,10,1940,Новейшее время,,,Japanese
886,Italeri Prussian Infantry (6067),1810,1815,2005.0,31.0,48.0,Italeri,5,1812,Новое время,2000.0,21.0,German
887,Italeri French Infantry (6066),1812,1815,2005.0,43.0,48.0,Italeri,3,1813,Новое время,2000.0,21.0,French
888,Zvezda Samurai Army Headquarters (8029),1501,1699,2005.0,47.0,28.0,Zvezda,198,1600,Средневековье,2000.0,21.0,Japanese
889,Lucky Toys Roman Commander's Cavalry (TL0007),80,150,2005.0,37.0,7.0,Lucky Toys,70,115,Древний мир,2000.0,21.0,Italian
890,HaT WWII German Motorcycle with Sidecar (8126),1940,1945,2005.0,,15.0,HaT,5,1942,Новейшее время,2000.0,21.0,German
891,HaT WWII German Motorcycles (8127),1939,1945,,,,HaT,6,1942,Новейшее время,,,German
