ID,Header,Years_from,Years_to
2727,"Zvezda Volkssturm, Berlin 1945 (6272)",1944,1945
2728,Linear-A Trajan's Legions vs Dacians (Set 1) (032),80,110
2729,First To Fight Polish Uhlans Command on Horses 1939 (PL1939-072),1939,1939
2730,Strelets Confederate Infantry in Defence (249),1861,1865
2731,Strelets Highlanders 1899-1902 (M139),1900,1902
2732,Mars Finnish Army (Winter Dress) 1942-1944 (72114),1942,1944
2733,"Linear-A Vigiles Urbani ""Cohortes Vigilum"" (001s)",-25,250
2734,Linear-A Sacrifice Before the Battle (002s),-500,-300
2735,Linear-A Legionary Recruits Training (003s),20,190
2736,Linear-A Waterloo After the Battle French Disaster (004s),1815,1815
2737,Linear-A Hittite King Muršili I with Royal Bodyguard (007s),-1620,-1590
2738,Linear-A Roman Artillery Set 2 - Onager (092),25,200
2739,Linear-A Roman Artillery Set 3 - Scorpio (009s),-200,200
2740,Linear-A Hannibal vs Scipio (010s),-215,-170
2741,Linear-A Waterloo After the Battle British Disaster (005s),1815,1815
2742,Strelets French Fusiliers (Early War) (236),1700,1715
2743,Strelets British Infantry Firing Line 1701-1714 (232),1701,1714
2745,Strelets Austrian Grenadiers Standing Shoulder Arms (204),1798,1815
2747,Strelets Bavarian Infantry at Ease (270),1805,1812
2749,Linear-A Indus Culture (Set 1) (042),-2024,-1400
2750,Strelets Bavarian Infantry in Attack (227),1808,1814
2751,Strelets Prussian Uhlans (228),1808,1815
2752,Strelets Prussian Dragoons (229),1808,1815
2753,Strelets Finnish Anti-Tank Squad in Summer Dress (245),1939,1945
2754,Strelets Finnish Anti-Tank Squad in Winter Dress (246),1941,1942
2755,Strelets American Anti-Tank Squad (247),1945,1960
2756,Linear-A Seleucid Infantry Phalanx Set 1 (033),-250,-170
2757,Linear-A Ptolemaic Infantry Phalanx Set 1 (034),-230,-180
2759,Linear-A Battle of Cunaxa Set 3 (Persian Cavalry) (036),-401,-401
2760,RedBox Moscow Noble Cavalry (Siege of Pskov) Set 1 (72127),1560,1599
2761,RedBox Moscow Noble Cavalry (Siege of Pskov) Set 2 (72128),1501,1599
2762,RedBox Moscow Noble Cavalry (Siege of Kazan) Set 1 (72133),1501,1599
2763,RedBox Moscow Noble Cavalry (Siege of Kazan) Set 2 (72134),1501,1599
2764,RedBox Moscow Noble Cavalry (Battle of Orsha) Set 1 (72135),1501,1540
2765,RedBox Moscow Noble Cavalry (Battle of Orsha) Set 2 (72136),1501,1599
2766,Strelets French Musketeers Firing (234),1701,1708
2767,Mars Russian Infantry (72115),1939,1945
2768,Linear-A The Victory of Waterloo (006s),1815,1815
2769,Linear-A Hannibal Crosses the Alps Set 5 (025),-250,-100
2770,Linear-A Napoleonic French Cavalry Disaster (027),1809,1815
2772,Mars Russian Assault Troops (72116),1943,1945
2773,Strelets French Grenadiers (Early War) (235),1701,1713
2774,Linear-A Roman Army under King Servius Tullius (038),-599,-501
2775,Linear-A Emperor Justinian I and Imperatrix Theodora I (011s),527,565
2776,Orion Ruff-Puffs (72053),1964,1975
2777,Strelets French Musketeers on the March (233),1701,1708
2778,Orion ARVN Troops (Early War) (72051),1955,1968
2779,Orion ARVN Troops (Late War) (72052),1969,1975
2780,Orion British Tank Crew (Summer Dress) (72057),1942,1945
2781,Linear-A Eastern Roman Empire Infantry Set 1 (039),501,599
2782,Linear-A Publius Quinctilius Varus 'Disaster' (012s),1,20
2783,Strelets Arabs in Skirmish (M142),1890,1935
2784,Mars German Volkssturm Defenders (72117),1944,1945
2785,Strelets British Cavalry (238),1701,1714
2786,Strelets French Pikemen (237),1690,1699
2787,Strelets French Infantry Summer Order Arms (222),1806,1814
2788,Mars German Night Hunters (72118),1943,1945
2789,Mars German Paratroopers (Tropical Uniform) (72119),1943,1945
2790,HaT American Civil War Infantry Sampler (8333),1861,1865
2791,HaT Austrian Infantry Sampler (8338),1800,1814
2792,HaT Napoleonic British Cavalry Sampler (8340),1808,1813
2793,Linear-A Roman Frontier Antonine Wall Garrison (013s),142,164
2794,Strelets Long Range Patrol at Rest (M143),1940,1943
2795,First To Fight Field Cannon 75mm wz.1902/26 (PL1939-077),1926,1945
2796,Strelets French Guard Musketeers (242),1695,1750
2797,Strelets Russian Infantry Standing Shoulder Arms (216),1812,1816
2798,Strelets Bavarian Infantry Standing Order Arms (271),1808,1815
2799,Strelets French Royal Horse Grenadiers (241),1701,1714
2802,T-Model Middle East Military Man Set (TK7312),2000,2020
2803,Mars US Paratroopers (72120),1942,1944
2804,Strelets SAS Desert Ambush (M145),1941,1943
2805,Strelets Africa Corps Mortar Squad (280),1941,1943
2806,Strelets Long Range Desert Group (M144),1940,1943
2807,RedBox Mounted Musketeers of the King of France (72146),1630,1690
2808,RedBox Bonnie Prince Charlie and Scottish Cavalry (72149),1745,1746
2809,Strelets Chevau-Légers and Gendarmes of the Guards (239),1700,1762
2810,RedBox Mounted Guards of Cardinal Richelieu (72148),1626,1650
2811,Linear-A The Army of Pyrrhus of Epirus (Set 2) (045),-299,-270
2812,Linear-A Samnite Wars (2) Italian Ally Cavalry (046),-350,-250
2813,Strelets Arabs in Retreat (M148),1900,1920
2814,Strelets Bavarian Infantry on the March (272),1808,1815
2815,Strelets French Garde du Corps (240),1690,1760
2816,Strelets Japanese Type 11 Gun (281),1931,1940
2817,Strelets Prussian 7th Uhlans (161),1815,1815
2818,Strelets M1916 37mm Gun with French Foreign Legion Crew (291),1920,1938
2819,Strelets French Foreign Legion in Camp (M146),1897,1910
2820,Strelets French Foreign Legion in Attack (M147),1903,1913
2823,Linear-A Seleucid Elephants vs Ptolemaic Elephants (049),-290,-170
2824,Mars Eastern Mercenaries (72137),1630,1670
2826,RedBox British Dragoons 1745 (72139),1730,1750
2827,RedBox British Regiments of Horse 1745 (72140),1727,1760
2828,RedBox Prince's Lifeguard and Fitzjames Horse (72141),1745,1746
2829,Plastic Soldier Waffen-SS Grenadier Platoon 1944-45 (UMOS001),1944,1945
2830,Orion German Panzer Soldiers 1939-40 (72058),1939,1940
2831,Orion Viet Cong (72059),1960,1975
2832,Orion North Vietnamese Army (72060),1954,1975
2833,Orion British Tank Crew (Winter Dress) (72061),1944,1975
2834,Zvezda British Headquarters (6174),1939,1941
2835,Zvezda American Infantry (6278),1943,1945
2836,Zvezda American Marines (6279),1942,1945
2837,Zvezda Soviet M-72 Motorcycle with Sidecar and Crew (6277),1941,1945
2838,Strelets Vikings (250),900,1100
2839,Plastic Soldier British Eighth Army Platoon (UMOS002),1940,1944
2840,Plastic Soldier Waffen-SS Grenadier 81mm Mortars (UMOS004),1941,1945
2841,Plastic Soldier Waffen-SS Grenadier HMGs (UMOS005),1942,1945
2842,Plastic Soldier Waffen-SS Grenadier Panzerschrecks (UMOS006),1943,1945
2843,Mars German Paratroopers (Winter Uniform) (72121),1943,1945
2844,Plastic Soldier Afrika Korps Platoon (UMOS003),1941,1943
2845,Orion Japanese Tank Crew WW2 (72067),1940,1945
2846,Mars German Panzer Crew in Combat (72122),1939,1945
2847,Linear-A Ptolemaic Infantry Phalanx Set 2 (050),-220,-180
2848,Strelets French Artillery (244),1701,1714
2849,Strelets British Artillery (243),1701,1715
2850,Linear-A Army of Syracuse: Infantry (051),-415,-413
2852,Plastic Soldier US Marine Corps Platoon (UMOS007),1942,1945
2855,Strelets French Dragoons on the March (251),1690,1733
2856,HaT Rome's Enemies (8266),-200,200
2857,Strelets Dismounted French Dragoons in Skirmish (254),1680,1733
2858,Strelets French Dragoons in Attack (253),1690,1733
2859,RedBox Ukrainian Registered Cossack Infantry (72142),1601,1699
2860,RedBox Ukrainian Zaporozhian Cossack Infantry (72143),1601,1699
2861,RedBox Ukrainian Peasant Infantry (72144),1601,1699
2862,RedBox Italian Arditi in Armor (72150),1915,1918
2863,Strelets French Late War Dragoons in Reserve (252),1690,1755
2864,Strelets DAK Desert Patrol (M081),1941,1943
2865,Strelets Arabs in Ambush (M149),1900,1930
2867,First To Fight Polish Horse Artillery (PL1939-084),1939,1939
2868,Strelets Austrian Infantry 1701-1714 on the March (260),1700,1714
2869,Italeri Desert Well and Tents (6148),1500,2000
2870,Strelets Dutch Cuirassiers (259),1707,1713
2871,Mars US Machine Gunners D-Day (72125),1943,1945
2872,Mars US Rangers D-Day (72126),1944,1945
2874,Strelets Italian Desert Patrol (M154),1935,1943
2876,Linear-A Imperial Roman Centuriones (061),1,200
2877,Billy V Civil War Union & Confederate Infantry Set (680),1861,1865
2878,Billy V Lewis & Clark + Indians (681),1800,1810
2879,Billy V Battle of the Alamo (683),1837,1837
2880,Billy V American Revolutionary War (684),1775,1785
2881,Billy V Pilgrims & Eastern Indians (686),1600,1670
2882,Billy V World War II Easy Company/German Troops (687),1943,1945
2883,Billy V Korean War (688),1951,1953
2884,Billy V Civil War Union & Confederate Cavalry (689),1861,1865
2885,Billy V Civil War Union & Confederate Artillery (690),1861,1865
2886,MPC American Infantry (1-6020),1916,1918
2887,MPC Union Infantry (1-6004),1861,1865
2888,MPC German Infantry (1-6001),1935,1945
2889,MPC 8th Army 'Desert Rats' (1-6002),1939,1943
2890,MPC German Afrika Korps (1-6003),1940,1943
2891,MPC Confederate Infantry (1-6005),1861,1865
2892,MPC Artillery Batteries (1-6006),1861,1865
2893,MPC US Marines (1-6007),1942,1945
2894,MPC US Assault Troops (1-6013),1980,1981
2895,MPC Soviet Infantry (1-6016),1980,1981
2896,MPC Russian Infantry (1-6021),1939,1945
2897,MPC German Infantry (1-6019),1914,1916
2898,MPC German Paratroops (1-6011),1939,1945
2899,MPC US Paratroops (1-6010),1940,1945
2900,MPC British Paratroops (1-6023),1940,1945
2901,MPC US Cavalry (1-6022),1860,1890
2902,MPC British Redcoats (1-6018),1775,1783
2903,MPC Washington's Army (1-6017),1776,1783
2904,MPC USAAF Personnel (1-6009),1941,1945
2905,MPC Luftwaffe Personnel (1-6012),1939,1945
2906,MPC NATO Ground Crew (1-6014),1975,1980
2907,MPC German Mountain Troops (1-6015),1939,1945
2908,Italeri Walls and Ruins II (6090),1700,2020
2909,Italeri Battlefield Buildings (6130),1939,1945
2910,LW German 20 mm Flak-38 with Crew (2025b),1940,1945
2911,LW US Army Light Trailer (2026b),1940,1950
2912,Caesar Three Kingdoms (Shu Kingdom Set 1) (TK001),210,263
2916,Linear-A Neo-Assyrian Empire Set 3 (062),-720,-609
2917,Ultima Ratio Confederate Infantry Texas Troops (UR015),1861,1865
2918,Strelets Bavarian Infantry in Square (274),1809,1815
2919,Strelets Bavarian Infantry 1701-1714 Shooting Line (262),1701,1713
2920,Model Kasten JNAF Aircrew 'Rabaul Zero Fighter' (F-11 1800),1933,1945
2921,Caesar Modern PRC PLA Troops (H105),2015,2024
2923,Plastic Soldier British Eighth Army Vickers MMGs (UMOS012),1940,1943
2924,Plastic Soldier British Eighth Army 3 Inch Mortar (UMOS009),1940,1943
2925,Plastic Soldier German Afrika Korps MG34 Tripod Teams (UMOS010),1940,1943
2926,Plastic Soldier German Afrika Korps 81 mm Mortars (UMOS011),1940,1943
2929,Plastic Soldier US Marine Corps Support Weapons (UMOS008),1941,1945
2931,Mars Soviet Border Guards (72129),1939,1945
2932,Hegemony Gurkhas Indian Mutiny (HG006),1856,1858
2933,Hegemony Romano-Britons (HB007),409,620
2934,Hegemony Urartians (HB008),-850,-590
2935,Hegemony Ancient Dorians (HB009),-1050,-750
2936,Hegemony Arameans (HB011),-899,-801
2937,Strelets Dutch Infantry Firing Line (265),1701,1714
2938,HaT Alexander's Macedonian Army (8088),-340,-320
2939,HaT Achaemenid Persian Army (8117),-350,-300
2940,HaT The Assyrian Army (8128),-699,-609
2941,HaT Republican Roman Army (8151),-300,-150
2942,HaT Carthaginian Army (8152),-350,-200
2943,Ultima Ratio Gladiators Hoplomachus Thracian (UR017),-100,300
2944,Ultima Ratio Carthaginian Army: Iberian Infantry Part 2 (UR018),-400,-100
2945,Mars Swiss Mercenaries (72068),1460,1490
2946,Mars Pirates of the Caribbean Set 2 (72069),1650,1730
2947,Mars German Volkssturm Defenders Set 2 (72130),1944,1945
2948,Mars German Mercenaries (Mid 16th Century) (72131),1540,1560
2949,Mars Persian Light Cavalry (72132),-500,-230
2950,Mars Persian Mercenary Cavalry (72133),-500,-230
2951,Mars Ancient Artillery (72134),-100,-100
2952,Mars Dacian Army (72135),100,110
2953,Mars Samurai (72136),1500,1650
2954,Hegemony Phrygians (HB012),-1100,100
2955,Hegemony Persian War Elephants (HB013),-500,-300
2956,Orion Long Range Desert Group (72062),1941,1943
2957,Orion German Panzer Soldiers (DAK) (72063),1941,1942
2958,Orion French Tank Crew WW2 (72064),1935,1940
2959,Orion Polish Tank Crew WW2 (72065),1939,1939
2960,Linear-A Legions of Gaius Julius Caesar (Set 1) (063),-60,-40
2961,Linear-A Legions of Gaius Julius Caesar (Set 2) (064),-60,-40
2963,Orion Italian Tank Crew (72066),1935,1943
2964,Strelets 1745 Jacobite Artillery (283),1745,1746
2965,Strelets Russian Jaegers in Winter Dress (289),1809,1815
2970,RedBox Byzantine Light Cavalry Set 1 (72137),575,1400
2971,Linear-A Neo-Assyrian Empire Siege Engineer Set 4 (083),-911,-605
2972,Linear-A Neo-Assyrian Empire Infantry Set 5 (084),-740,-612
2973,"Linear-A Dilmun, Magan, Jiroft (085)",-2024,-1700
2974,Ultima Ratio Carthaginian Army: Libyan Infantry (UR021),-250,-150
2977,Linear-A Bacchanalia in Ancient Rome (Set 1) (088),-200,50
2978,Linear-A Roman Artillery (Set 1) Ballista (089),-50,100
2981,Linear-A Gnaeus Pompeius Magnus with General Staff (018s),-50,-40
2986,Linear-A Cleopatra VII Philopator (021s),-69,-30
2989,Linear-A Gaius Julius Caesar at Alesia (008s),-55,-45
2990,Linear-A Wilusa (093),-1400,-1200
2991,Linear-A Legions of Marcus Licinius Crassus (Set 2) (094),-60,-40
3004,Linear-A Pyrrhic Elephants (107),-280,-270
3005,Strelets British Infantry in Skirmish (285),1812,1816
3006,Strelets British Infantry in Square (286),1812,1816
3007,Mars British Paratroopers (72139),1942,1945
3008,Mars U.S. Marines (72140),1942,1945
3009,Mars U.S. Paratroopers (Part 2) (72141),1942,1945
3010,Mars German Artillery Crew (Winter) (72142),1942,1945
3011,Strelets Early WWII US Infantry in Combat (M159),1941,1942
3012,Strelets Austrian Infantry 1701-1714 in Attack (261),1701,1714
3013,HaT French Light Infantry Chasseurs Sampler (8341),1806,1812
3014,Waterloo 1815 Celtic Warriors (045),-300,200
3019,Linear-A Gangs/Revolt in Rome (Set 1) (112),-200,-27
3028,HaT AWI American Infantry (8342),1776,1783
3029,HaT AWI British Infantry (8343),1768,1783
3032,Mars Ukrainain Defenders Set II (72143),2016,2024
3033,Orion Hungarian Tank Crew WW2 (72069),1939,1945
3034,Orion US Infantry in Vietnam (Middle War) (72070),1966,1970
3035,Orion USMC In Vietnam (Early War) (72068),1965,1968
3036,HaT Napoleonic Hungarian Infantry (Marching) (8334),1806,1815
3037,HaT Napoleonic Hungarian Infantry (Action) (8335),1806,1815
3038,Ultima Ratio Burgundian Foot Soldiers (UR022),1419,1480
3044,"Linear-A Jesus, the True Story (128)",25,35
3047,Strelets Seminole Warriors (M160),1816,1858
3048,Strelets US Volunteers (Seminole Wars) (M161),1816,1858
3049,Ultima Ratio Roman Republic Army: Hastati (UR023),-270,-110
3052,Linear-A Republican Roman Incendiary Swine (141),-280,-50
3054,HaT AWI American Artillery (8344),1776,1783
3055,HaT AWI American Cavalry (8346),1776,1783
3056,RedBox Tudor Light Infantry (72155),1500,1603
3057,HaT American War of Independence British Artillery (8345),1770,1785
3058,HaT American War of Independence British Cavalry (8347),1776,1783
3059,HaT Hessian Musketeers Charging (8348),1776,1783
3060,Ultima Ratio Japanese Warrior Monks (UR024),980,1590
3061,HaT Napoleonic Russian Infantry Marching (8350),1800,1814
3062,Strelets British Light Infantry on the March (294),1806,1815
3063,Strelets British Light Infantry in Attack (295),1806,1815
3064,Strelets Early WWII Infantry in Defence (M162),1940,1942
3065,Strelets IJA Infantry in Melee (M163),1938,1945
3066,Strelets Holy Roman Empire Grenadiers 1701-1714 (269),1701,1714
3067,Orion Finnish Tank Crew WW2 (72071),1937,1945
3068,Orion USMC in Vietnam (Late War) (72072),1970,1973
3069,Orion Spanish Republican Pilots (72073),1930,1939
3070,Ultima Ratio Roman Republican Army: Velites (UR025),-300,-100
3071,HaT Napoleonic Russian Infantry Action (8351),1812,1815
3072,HaT Napoleonic Russian Infantry Command (8352),1812,1815
3073,First To Fight CKM wz.30 in Cavalry Service (PL1939-120),1936,1939
3076,Linear-A Gangs/Revolt in Rome (Set 2) (147),-133,200
3077,Linear-A French Engineers (Set 2) (148),1810,1813
3080,Ultima Ratio The Thracians (UR026),-650,30
3081,HaT Hessian Musketeers (8349),1776,1783
3082,HaT Hessian Grenadiers (8353),1776,1783
3086,Strelets British Light Infantry Standing Order Arms (296),1806,1815
3087,Strelets British Light Infantry Standing Shoulder Arms (297),1806,1815
3088,Strelets British Light Infantry Firing Line (299),1806,1815
3089,Strelets British Light Infantry in Square (300),1806,1815
3090,Strelets Early Texas Rangers (M165),1823,1845
3091,Strelets Comanche Warriors (M166),1700,1843
3101,Mars Italian Paratroopers (72145),1940,1945
3102,Mars U.S. Chemical Mortar Team (72146),1943,1945
3103,Mars German MG Team (72147),1939,1945
3104,Mars German Afrika Korps (72148),1941,1943
3107,Ultima Ratio French Armies of the Hundred Years War (UR027),1335,1460
3108,Heller US Paratroopers (49651),1940,1945
3109,Heller British Paratroopers (49623),0,0
3110,Heller German Air Force Personnel (49655),1935,1945
3111,Heller US Air Force Personnel (49648),1941,1945
3112,Heller British Infantry 8th Army (49609),1941,1945
3119,Strelets French Line Cavalry in Attack (267),1701,1714
3120,Strelets Mounted Seminoles (301),1810,1860
3121,Strelets Napoleon in Egypt (303),1798,1801
3122,Strelets Apache Warriors (M167),1700,1865
3123,Strelets Texas Rangers 2 (M168),1823,1850
